anomaly,IS↑,FID64↓,ICLPIPS↓,KID↓,EMD↓,KL↓,JS↓
pill_crack,1.335561,0.421301,0.218932,0.105701,0.438242,0.56004,0.161301
pill_color,1.384839,0.529433,0.205873,0.112093,0.284888,0.479882,0.130503
pill_scratch,1.313807,0.557689,0.179051,0.082475,0.659858,0.466642,0.095617
pill_contamination,1.439235,0.489921,0.200061,0.066341,0.609142,0.821272,0.179502
pill_pill_type,1.714995,4.316721,0.296882,0.279206,0.543571,0.854982,0.257402
pill_faulty_imprint,1.43445,0.374718,0.206336,0.117068,0.708253,0.87242,0.252306
pill_combined,1.409836,0.659903,0.209,0.113983,1.079597,0.460586,0.135551
screw_scratch_head,1.257067,1.12587,0.241095,0.026086,0.568476,0.030789,0.010305
screw_thread_top,1.198681,1.00531,0.219184,0.023372,2.569944,0.057595,0.013037
screw_manipulated_front,1.224042,0.95446,0.244502,0.03115,1.862262,0.080109,0.0175
screw_thread_side,1.714531,0.672148,0.316442,0.067273,0.715548,0.151353,0.08067
screw_scratch_neck,1.226355,1.026418,0.235431,0.03349,2.454161,0.066988,0.020501
capsule_crack,1.543034,0.941673,0.190702,0.06851,0.243602,0.370528,0.067857
capsule_scratch,1.481844,0.829457,0.176479,0.07401,0.838769,0.469929,0.067285
capsule_squeeze,1.996868,0.790526,0.255718,0.122797,0.305952,0.553346,0.170995
capsule_faulty_imprint,1.357214,0.773556,0.192699,0.068701,0.302832,0.377421,0.077824
capsule_poke,1.319013,0.900524,0.165818,0.057026,0.65599,0.60629,0.083593
hazelnut_crack,1.802403,0.704023,0.289448,0.02713,0.320743,0.417991,0.08211
hazelnut_hole,1.938231,0.754244,0.241753,0.033116,0.146392,0.488403,0.111082
hazelnut_cut,1.76411,0.476587,0.267252,0.057769,0.135896,0.467117,0.11965
hazelnut_print,1.67845,0.783993,0.28914,0.056647,0.459839,0.430922,0.098884
leather_glue,1.76991,13.711569,0.360909,0.216804,0.770995,0.482036,0.099189
leather_color,1.649303,14.859402,0.383005,0.247357,1.128873,0.855529,0.151623
leather_cut,2.104039,13.67168,0.304137,0.20107,0.799919,1.040954,0.168814
leather_poke,1.836024,13.748429,0.378978,0.23545,1.292775,1.158916,0.161421
leather_fold,1.562414,12.283854,0.367216,0.253632,0.379478,0.777392,0.132823
cable_bent_wire,1.892759,0.742336,0.362045,0.145732,0.132677,0.801097,0.224911
cable_cut_outer_insulation,1.606909,1.21775,0.368834,0.137872,0.31063,0.328629,0.076192
cable_missing_wire,1.698347,0.525212,0.353085,0.15847,0.431715,0.649417,0.177026
cable_combined,1.598819,0.489575,0.36895,0.108871,0.143883,0.45452,0.104416
cable_missing_cable,2.156202,1.413517,0.411594,0.109743,1.221813,0.736883,0.173993
cable_poke_insulation,1.618398,0.497758,0.345676,0.114421,0.103537,0.346262,0.11914
cable_cable_swap,1.960604,0.73004,0.350741,0.189942,0.206295,0.865547,0.168922
cable_cut_inner_insulation,1.688132,0.561379,0.3319,0.226152,0.339908,0.383365,0.089724
transistor_bent_lead,1.513215,0.279781,0.310777,0.136503,0.44736,0.349129,0.101891
transistor_misplaced,2.665323,1.935858,0.552405,0.202716,2.995775,1.822633,0.308852
transistor_cut_lead,1.665182,0.471668,0.300452,0.151249,0.477341,0.319884,0.088992
transistor_damaged_case,1.489318,1.172856,0.34554,0.233478,0.058365,0.65631,0.131402
zipper_fabric_interior,1.309022,1.411416,0.243215,0.152267,4.499077,1.474723,0.256663
zipper_rough,1.30329,1.222213,0.21601,0.13038,3.28715,1.462437,0.26687
zipper_split_teeth,1.285193,0.97722,0.197761,0.143605,3.010943,1.600326,0.283352
zipper_squeezed_teeth,1.266955,1.275475,0.217024,0.161468,3.521904,0.976297,0.189574
zipper_fabric_border,1.331944,1.394729,0.241415,0.144269,3.012091,0.989268,0.202825
zipper_combined,1.409646,1.085039,0.236899,0.138574,2.590719,0.830151,0.147617
zipper_broken_teeth,1.34025,1.056526,0.211967,0.134304,2.177858,0.931783,0.180663
wood_hole,1.396537,2.942986,0.299412,0.111869,0.022273,0.245266,0.037676
wood_color,2.097463,3.203246,0.348235,0.087109,0.249714,0.383879,0.073105
wood_scratch,1.973183,3.734606,0.3237,0.071101,0.227362,0.664223,0.092922
wood_liquid,1.505528,3.522075,0.348954,0.093978,0.05308,0.591086,0.148611
wood_combined,1.774825,4.625936,0.337218,0.089483,0.24585,0.582415,0.085303
metal_nut_flip,1.498659,3.288916,0.412728,0.606031,0.641797,3.558942,0.506071
metal_nut_color,1.481271,0.801883,0.217261,0.166459,0.465865,0.678678,0.140478
metal_nut_bent,1.424205,0.97633,0.183235,0.140184,0.448974,0.358677,0.083757
metal_nut_scratch,1.672158,0.658161,0.247363,0.148088,0.455965,0.337128,0.099502
bottle_broken_small,1.2984,0.168489,0.143099,0.137031,0.313785,0.478882,0.099863
bottle_contamination,1.543654,0.174964,0.179747,0.143024,0.462677,0.792433,0.15252
bottle_broken_large,1.429546,0.537668,0.199249,0.127345,0.176322,0.559552,0.106672
tile_crack,2.059445,1.505663,0.51129,0.248551,0.274069,0.746885,0.157248
tile_rough,1.846717,2.665842,0.509841,0.269453,0.14299,0.86746,0.147581
tile_glue_strip,1.899043,1.483224,0.50719,0.156168,1.120277,0.39716,0.114202
tile_gray_stroke,1.742723,1.601778,0.508258,0.243918,0.650413,0.599207,0.114974
tile_oil,1.956884,1.257866,0.457628,0.276103,0.72548,0.596333,0.161329
carpet_hole,1.143831,9.74413,0.21267,0.209323,1.889167,0.135095,0.021818
carpet_color,1.147826,8.673779,0.23207,0.174568,1.2506,0.381396,0.054067
carpet_cut,1.103635,9.742436,0.147107,0.18802,3.079116,0.128315,0.017148
carpet_thread,1.145488,9.847908,0.200655,0.156582,0.624889,0.589492,0.074711
carpet_metal_contamination,1.144267,8.726851,0.18581,0.164031,1.983299,0.273422,0.041359
grid_glue,2.152627,9.991082,0.410097,0.103659,2.649268,1.002387,0.209622
grid_bent,1.971431,6.348992,0.37114,0.045795,2.631557,0.848108,0.138483
grid_thread,2.120544,9.763197,0.344022,0.037882,0.172972,0.759921,0.124278
grid_metal_contamination,2.317729,4.258181,0.328335,0.13973,1.749561,0.766909,0.134518
grid_broken,2.222369,4.068646,0.367492,0.07084,0.288839,0.914901,0.204825
toothbrush_defective,1.322436,0.510576,0.167683,0.067181,0.912084,0.277452,0.040572
